一级目录,二级目录,目录,说明,国标
1. 节能环保产业,1.1高效节能装备制造,1.1.11高效节能家用电器制造,包括节能型房间空调器、空调机组、电冰箱、电动洗衣机、平板电视机、电风扇等家用电器制造。房间空气调节器能效优于《房间空气调节器能效限定值及能效等级》（GB12021.3）标准1级能效水平；转速可控型房间空气调节器能效优于《转速可控型房间空气调节器能效限定值及能效等级》（GB21455）标准1级能效水平；多联式空调（热泵）机组能效比优于《多联式空调（热泵）机组能效限定值及能源效率等级》（GB21454）标准1级能效水平；家用电冰箱能效优于《家用电冰箱耗电量限定值及能效等级》（GB12021.2）标准1级能效水平；电动洗衣机能效优于《电动洗衣机能效水效限定值及等级》（GB12021.4）标准1级能效水平；电饭煲能效优于《电饭锅能效限定值及能效等级》（GB12021.6）标准1级能效水平；平板电视机能效优于《平板电视能效限定值及能效等级》（GB24850）标准1级能效水平；交流电风扇能效优于《交流电风扇能效限定值及能效等级》（GB12021.9）标准1级能效水平。其他高效节能家用电器能效均优于相应国家强制性标准1级能效水平。,《房间空气调节器能效限定值及能效等级》（GB12021.3）&《转速可控型房间空气调节器能效限定值及能效等级》（GB21455）&《多联式空调（热泵）机组能效限定值及能源效率等级》（GB21454）&《家用电冰箱耗电量限定值及能效等级》（GB12021.2）&《电动洗衣机能效水效限定值及等级》（GB12021.4）&《电饭锅能效限定值及能效等级》（GB12021.6）&《平板电视能效限定值及能效等级》（GB24850）&《交流电风扇能效限定值及能效等级》（GB12021.9）
1. 节能环保产业,1.1高效节能装备制造,1.1.12高效节能商用设备制造,包括节能型复印机、打印机、传真机、微型计算机、投影机、商用制冷器具、冷水机组、热泵机组、单元式空调等设备制造。产品能效优于《复印机、打印机和传真机能效限定值及能效等级》（GB21521）、《微型计算机能效限定值及能效等级》（GB28380）、《投影机能效限定值及能效等级》（GB32028）、《冷水机组能效限定值及能效等级》（GB19577）、《单元式空气调节机能效限定值及能源效率等级》（GB19576）等相应国家强制性能效标准1级能效水平。,《复印机、打印机和传真机能效限定值及能效等级》（GB21521）&《微型计算机能效限定值及能效等级》（GB28380）&《投影机能效限定值及能效等级》（GB32028）&《冷水机组能效限定值及能效等级》（GB19577）&《单元式空气调节机能效限定值及能源效率等级》（GB19576）
1. 节能环保产业,1.1高效节能装备制造,1.1.13高效照明产品及系统制造,包括发光二极管（LED）用大尺寸开盒即用蓝宝石、大尺寸高效低成本LED外延生长和芯片制备产业化技术装置、替代型半导体照明光源、新型LED照明应用产品、半导体照明产品及其生产装备、电子镇流器等设备制造。LED产品需符合《普通照明用非定向自镇流LED灯能效限定值及能效等级》（GB30255）、《LED筒灯性能测量方法》（GB/T29293）、《LED筒灯性能要求》（GB/T29294）、《普通照明用非定向自镇流LED灯性能要求》（GB/T24908）等国家标准要求。,《普通照明用非定向自镇流LED灯能效限定值及能效等级》（GB30255）&《LED筒灯性能测量方法》（GB/T29293）&《LED筒灯性能要求》（GB/T29294）&《普通照明用非定向自镇流LED灯性能要求》（GB/T24908）
1. 节能环保产业,1.1高效节能装备制造,1.1.14绿色建筑材料制造,包括节能墙体材料、外墙保温材料、节能玻璃、装配式建筑部品部件、预拌混凝土、预拌砂浆等绿色建材产品制造。,《）
1. 节能环保产业,1.1高效节能装备制造,1.1.15能源计量、监测、控制设备制造,包括节能检测设备、在线能源计量设备、在线能源检测设备、热工检测设备、节能自控设备、温度计量设备、流量计量设备、电力计量设备、热力计量设备等设备制造。,《）
1. 节能环保产业,1.2先进环保装备制造,1.2.1水污染防治装备制造,包括城镇污水处理与再生利用装备、农村污水处理与回用装备、难处理工业废水处理及回用装备、地表水水体污染治理装备、地下水污染防控与修复装备、清淤机械电站废水清淤机械、管道清淤机械、水资源专用机械、海绵城市建设配套装备、排水管网维护检测装备、城镇雨水收集与处理装备、城镇合流制溢流污染控制与治理装备、城市黑臭水体清淤装备、饮用水安全保障及漏损控制装备等装备制造。装备需符合《污水处理设备安全技术规范》（GB/T28742）、《污水处理容器设备通用技术条件》（GB/T28743）、《家用和类似用途饮用水处理装置》（GB/T30307）等国家标准要求，鼓励达到《环境保护综合名录（2017年版）》、《国家鼓励发展的重大环保装备技术目录（2017年版）》等的相关技术标准要求。,《污水处理设备安全技术规范》（GB/T28742）&《污水处理容器设备通用技术条件》（GB/T28743）&《家用和类似用途饮用水处理装置》（GB/T30307）
1. 节能环保产业,1.2先进环保装备制造,1.2.2大气污染防治装备制造,包括除尘、燃煤烟气脱硫脱硝、挥发性有机污染物（VOCs）处理、机动车尾气后处理、食品业油烟净化等装备制造。装备需符合《高效能大气污染物控制装备评价技术要求第2部分：电除尘器》（GB/T33017.2）、《高效能大气污染物控制装备评价技术要求第3部分：袋式除尘器》（GB/T33017.3）、《高效能大气污染物控制装备评价技术要求第4部分：电袋复合除尘器》（GB/T33017.4）、《燃煤烟气脱硫设备第1部分：燃煤烟气湿法脱硫设备》（GB/T19229.1）、《燃煤烟气脱硝技术装备》（GB/T21509）等国家标准要求，鼓励达到《环境保护综合名录（2017年版）》、《国家鼓励发展的重大环保装备技术目录（2017年版）》等的相关技术标准要求。,《高效能大气污染物控制装备评价技术要求第2部分：电除尘器》（GB/T33017.2）&《高效能大气污染物控制装备评价技术要求第3部分：袋式除尘器》（GB/T33017.3）&《高效能大气污染物控制装备评价技术要求第4部分：电袋复合除尘器》（GB/T33017.4）&《燃煤烟气脱硫设备第1部分：燃煤烟气湿法脱硫设备》（GB/T19229.1）&《燃煤烟气脱硝技术装备》（GB/T21509）
1. 节能环保产业,1.2先进环保装备制造,1.2.3土壤污染治理与修复装备制造,包括矿山复垦与生态修复装备、农用地土壤污染修复装备、污染地块治理与修复装备，以及列入《土壤污染防治先进技术装备目录》的相关装备等。鼓励达到《土壤污染防治先进技术装备目录》、《国家鼓励发展的重大环保装备技术目录（2017年版）》等的相关技术标准要求。,《）
1. 节能环保产业,1.2先进环保装备制造,1.2.4固体废物处理处置装备制造,包括污泥浓缩、厌氧消化、高效脱水、干化、高温好氧发酵、热解、污泥焚烧等污泥处理装备，固体废物处理装备，黑臭水体清淤底泥存储和处理装备等装备制造。鼓励装备达到《环境保护综合名录（2017年版）》、《国家鼓励发展的重大环保装备技术目录（2017年版）》等的相关技术标准要求。,《）
1. 节能环保产业,1.2先进环保装备制造,1.2.5减振降噪设备制造,包括声屏障、消声器、动力设备隔振装置、管道隔振用软连接设备、轨道振动与噪声控制装置、阻尼抑振材料和设备、有源噪声与振动控制设备等装备制造。装备需符合《复合阻尼隔振器和复合阻尼器》（GB/T14527）等国家标准要求，鼓励达到《环境保护综合名录（2017年版）》、《国家鼓励发展的重大环保装备技术目录（2017年版）》等的相关技术标准要求。,《复合阻尼隔振器和复合阻尼器》（GB/T14527）
1. 节能环保产业,1.2先进环保装备制造,1.2.6放射性污染防治和处理设备制造,包括放射性废物处理和处置装置、放射源污染土壤的治理与修复装备等设备制造。,《）
1. 节能环保产业,1.2先进环保装备制造,1.2.7环境污染处理药剂、材料制造,包括新型化学除磷药剂、杀菌灭藻剂、有机合成高分子絮凝剂、微生物絮凝剂等环保药剂和高性能袋式除尘滤料及纤维、袋除尘用大口径脉冲阀、无膜片高压低能耗脉冲阀、膜材料和膜组件等制造，以及列入《国家鼓励发展的重大环保装备技术目录（2017年版）》的环境污染治理材料和药剂制造。,《）
1. 节能环保产业,1.2先进环保装备制造,1.2.8环境监测仪器与应急处理设备制造,包括大气、水、土壤、生物、噪声与振动、固体废物、机动车排放（含遥感监测和PEMS检测）、核与辐射等生态环境监测及检测仪器仪表、环境应急检测仪器仪表、环境应急装备等设备制造，以及列入《环境保护综合名录（2017年版）》、《国家鼓励发展的重大环保装备技术目录（2017年版）》的设备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.1矿产资源综合利用装备制造,包括能源矿产、黑色金属矿产、有色金属（含稀有金属）矿产、非金属矿产资源综合利用装备等的制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.2工业固体废物综合利用装备制造,包括煤矸石、粉煤灰、脱硫石膏、磷石膏、化工废渣、冶炼废渣、尾矿、赤泥等固体废物的二次利用或综合利用装备，冶金烟灰粉尘回收与稀贵金属高效低成本回收工艺与装备等的制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.3建筑废弃物、道路废弃物资源化无害化利用装备制造,包括移动式和固定式相结合的建筑废弃物综合利用成套设备，建筑废弃物生产的道路结构层材料、人行道透水材料、市政设施复合材料等，废旧沥青再生装备，建筑废弃物混杂料再生利用装备，制备再生骨料的强化、废旧砂灰粉的活化和综合利用装置，轻质物料分选、除尘、降噪等设施的集成移动式设备等装备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.4餐厨废弃物资源化无害化利用装备制造,包括餐厨废弃物预处理设备、餐厨废弃物密闭化、专业化收集运输体系，餐厨废弃物低能耗高效灭菌和废油高效回收利用、厌氧发酵产沼装备，餐厨废弃物制成生物柴油、有机肥及沼气、工业乙醇等资源化产品与提纯净化及装备，餐厨废弃物分类回收和减量化、无害化处理装备等的制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.5汽车零部件及机电产品再制造装备制造,包括高效环保拆解清洗设备，纳米颗粒复合电刷镀、高速电弧喷涂、等离子熔覆等关键装备，微纳米表面工程、高密度能源的先进材料制备与成型一体化装备等装备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.6资源再生利用装备制造,包括再生金属制造装备，废橡胶、废塑料及轮胎翻新无害化再生利用装备，废旧机电产品无害化再生利用装备，报废汽车拆解和再生利用装备，废旧新能源汽车动力蓄电池回收利用装备，废旧太阳能设备再生利用装备，废旧纺织品无害化再生利用装备，废矿物油再生利用装备，废弃生物质再生利用装备，玻璃、废纸等非金属材料无害化再生利用装备等装备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.7非常规水源利用装备制造,包括电力、钢铁、有色、石油石化、煤炭、化工、造纸、纺织印染、食品加工、机械、电子等高用水行业废水处理回用装置，城镇污水再生利用装置，建筑中水利用装置，矿井水利用和净化装置，苦咸水综合利用设施，雨水收集利用与回渗装置，大型膜法反渗透海水淡化膜组件、高压泵、能量回收等关键部件和热法海水淡化核心部件，热膜耦合海水淡化装备，利用电厂余热、核能以及风能、海洋能和太阳能等可再生能源进行海水淡化的装备，浓盐水综合利用及浓缩洁净零排放装备等装备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.8农林废物资源化无害化利用装备制造,包括秸秆气化、固化成型、打捆直燃等能源化利用装备，发酵制饲料、沼气/生物质天然气、高效有机肥等装置，畜禽粪污和农村厕所粪污处理、收集、加工和粪肥、沼肥综合利用等粪污资源化利用装备等装备制造。,《）
1. 节能环保产业,1.3资源循环利用装备制造,1.3.9城镇污水处理厂污泥处置综合利用装备制造,包括对城镇污水处理厂污泥预处理或减量化装备，厌氧消化、高温好氧发酵、热干化及焚烧等处置设施和装备制造。通过装备处理处置后的污泥产品应达到《农用污泥中污染物控制标准》（GB4284）、《城镇污水处理厂污泥泥质混合填埋用泥质》（GB/T23485）、《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）、《城镇污水处理厂污泥处置园林绿化用泥质》（GB/T23486）、《城镇污水处理厂污泥处置制砖用泥质》（GB/T25031）、《城镇污水处理厂污泥泥质》（GB/T24188）、《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）、《城镇污水处理厂污泥处理稳定标准》（CJ/T510）等国家标准或地方标准，或有效利用其热值。,《农用污泥中污染物控制标准》（GB4284）&《城镇污水处理厂污泥泥质混合填埋用泥质》（GB/T23485）&《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）&《城镇污水处理厂污泥处置园林绿化用泥质》（GB/T23486）&《城镇污水处理厂污泥处置制砖用泥质》（GB/T25031）&《城镇污水处理厂污泥泥质》（GB/T24188）&《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）&《城镇污水处理厂污泥处理稳定标准》（CJ/T510）
1. 节能环保产业,1.4新能源汽车和绿色船舶制造,1.4.1新能源汽车关键零部件制造和产业化,包括新能源汽车电池、电机及其控制系统、电附件、插电式混合动力专用发动机、机电耦合系统及能量回收系统等装备的制造和产业化。,《）
1. 节能环保产业,1.4新能源汽车和绿色船舶制造,1.4.2充电、换电及加氢设施制造,包括分布式交流充电桩、集中式快速充电站、换电设施、站用加氢及储氢设施等设施制造。,《）
1. 节能环保产业,1.4新能源汽车和绿色船舶制造,1.4.3绿色船舶制造,包括天然气动力船舶，电力船舶，太阳能、风能等新能源船舶，节能和新能源施工船舶等绿色船舶制造。,《）
1. 节能环保产业,1.5节能改造,1.5.1锅炉（窑炉）节能改造和能效提升,包括燃煤锅炉“以大代小”，采用先进燃煤锅炉、节能环保煤粉锅炉、新型循环流化床锅炉、天然气锅炉、蓄热式电锅炉、生物质锅炉等高效锅炉替代老旧低效燃煤锅炉，综合采取锅炉燃烧优化、二次送风、自动控制、余热回收、太阳能预热、主辅机优化、热泵、冷凝水回收等技术实施锅炉系统节能改造，提高燃煤锅炉使用洗选煤比例，提高工业锅炉燃用专用煤比例，采用四通道喷煤燃烧、并流蓄热石灰窑煅烧、蓄热式燃烧等技术实施窑炉节能改造等。,《）
1. 节能环保产业,1.5节能改造,1.5.2电机系统能效提升,包括采用高压变频调速、永磁调速、内反馈调速、柔性传动等技术实施电机系统调节方式节能改造，建设基于互联网的电机系统能效监测、故障诊断、优化控制平台，采用高效电动机、风机、压缩机、水泵、变压器等替代低效设备，实施系统无功补偿改造，采用泵与风机管路优化技术、空压机系统节能技术等对电机系统实施整体优化改造等。,《）
1. 节能环保产业,1.5节能改造,1.5.3余热余压利用,包括采用非稳态余热回收及饱和蒸汽发电技术、煤气化多联产燃气轮机发电技术、火电厂烟气综合优化系统余热深度回收技术、矿热炉烟气余热利用技术、油田采油污水余热综合利用技术、转炉煤气高效回收利用技术、低热值高炉煤气燃气-蒸汽联合循环发电、高固气比水泥悬浮预热分解技术等实施中低品位余热余压回收利用，将余热余压利用技术与工艺节能相结合等。,《）
1. 节能环保产业,1.5节能改造,1.5.4能量系统优化,包括按照能源梯级利用、系统优化原则，通过能量系统优化设计与控制、工艺流程优化、系统技术集成应用等措施对工业窑炉实施节能改造，对能量系统的能源流、物质流、信息流实施协同优化等。,《）
1. 节能环保产业,1.5节能改造,1.5.5绿色照明改造,包括采用技术成熟的半导体通用照明产品、高/低压钠灯、金属卤化物灯、三基色双端直管荧光灯（T8、T5型）等高效照明产品，高效照明控制系统，以及采用自然光为光源等实施各类建筑及公共场所的照明节能改造。相关参数需符合《LED城市道路照明应用技术要求》（GB/T31832）、《隧道照明用LED灯具性能要求》（GB/T32481）等国家标准要求。,《LED城市道路照明应用技术要求》（GB/T31832）&《隧道照明用LED灯具性能要求》（GB/T32481）
1. 节能环保产业,1.5节能改造,1.5.6汽轮发电机组系统能效提升,包括采用汽轮机通流部分改造、冷端系统改造、锅炉受热面及烟风系统改造，运行控制系统改造，热力及疏水系统改造，辅助电机设备变频改造等方式提升燃煤汽轮机组能效。,《）
1. 节能环保产业,1.6污染治理,1.6.1良好水体保护及地下水环境防治,包括严格保护江河源头及水质达到或优于III类的江河湖库，开展重要饮用水水源地达标建设、备用水源建设、水源涵养和生态修复，开展生物缓冲带建设，实施报废矿井、钻井、取水井封井回填，开展石油化工、矿山开采、农田等区域地下水污染区划、风险评估和污染治理等。,《）
1. 节能环保产业,1.6污染治理,1.6.2重点流域海域水环境治理,包括实施七大流域及近岸海域水环境保护与综合治理，开展河湖生态修复，实施太湖、洞庭湖、滇池、巢湖、鄱阳湖、白洋淀、乌梁素海、呼伦湖、艾比湖等重点湖库水污染综合治理，开展长江中下游、珠三角等河湖内源治理等。,《）
1. 节能环保产业,1.6污染治理,1.6.3城市黑臭水体整治,包括采取控源截污、垃圾清理、清淤疏浚、生态修复等措施治理城市黑臭水体，治理后水体需满足《城市黑臭水体整治工作指南》等管理文件要求。,《）
1. 节能环保产业,1.6污染治理,1.6.4船舶港口污染防治,包括建设港口油气回收系统，船舶改造加装尾气污染治理装备，大型煤炭、矿石码头堆场建设防风抑尘设施，建设港口船舶污染物接收设施，开展干散货码头粉尘专项治理，实施内河船舶环保设施升级改造等。,《）
1. 节能环保产业,1.6污染治理,1.6.5交通车辆污染治理,包括采用高效、节能、环保的车辆装备替换老旧和高能耗、高排放营运车辆，建设机动车和非道路移动机械的污染排放实时监控系统，对汽车维修废油、废水和废气实施治理等。,《）
1. 节能环保产业,1.6污染治理,1.6.6城市扬尘综合整治,包括在建设工程施工现场设置全封闭围挡墙、物料堆放覆盖、土方开挖湿法作业、进行道路地面硬化、出入车辆清洗，渣土运输车辆采取密闭措施，采用道路机械化清扫等低尘作业方式，城市及周边建设绿化和防风防沙林等。,《）
1. 节能环保产业,1.6污染治理,1.6.7餐饮油烟污染治理,包括在餐饮服务经营场所安装高效油烟净化设施等。设施运行需符合《饮食业油烟排放标准》（GB18483）。,《饮食业油烟排放标准》（GB18483）
1. 节能环保产业,1.6污染治理,1.6.8建设用地污染治理,包括开展建设用地土壤污染状况详查与监测，开展疑似污染地块土壤环境初步调查，开展污染地块土壤环境详细调查、风险评估、风险管控、治理与修复及其效果评估等。,《）
1. 节能环保产业,1.6污染治理,1.6.9农林草业面源污染防治,包括应用资源节约型农业清洁生产技术，发展资源节约型、环境友好型、生态保育型农业，建设生态沟渠、污水净化塘、地表径流集蓄池等设施，发展环水有机农业，发展健康生态养殖，实行测土配方施肥，开展粪污集中处理和资源化综合利用，应用粪肥、有机肥、沼渣沼液、沼气、生物天然气等畜禽粪污资源化利用产品，实施畜禽规模养殖场（小区）标准化改造和建设等。畜禽养殖需符合《畜禽养殖业污染物排放标准》（GB18596）。,《畜禽养殖业污染物排放标准》（GB18596）
1. 节能环保产业,1.6污染治理,1.6.10沙漠污染治理,包括采用清洗、淋洗、玻璃化、热处理以及气相抽吸等物理措施，焚烧、电动修复、化学稳定等化学措施，植物修复、动物修复和微生物修复等生物措施开展的沙漠污染治理活动。,《）
1. 节能环保产业,1.6污染治理,1.6.11农用地污染治理,包括开展农用地土壤污染状况详查与监测，开展农用地土壤环境质量类别划分、安全利用、风险管控、治理与修复、治理与修复效果评估等。,《）
1. 节能环保产业,1.6污染治理,1.6.12噪声污染治理,包括工业企业噪声污染治理、交通噪声污染治理、建筑施工噪声污染治理以及社会生活噪声污染治理等。,《）
1. 节能环保产业,1.6污染治理,1.6.13恶臭污染治理,包括在生产经营活动中产生恶臭气体的企业事业单位和其他生产经营单位安装净化装置或采取其他措施。装置或措施运行需符合《恶臭污染物排放标准》（GB14554）。,《恶臭污染物排放标准》（GB14554）
1. 节能环保产业,1.6污染治理,1.6.14农村人居环境整治,包括农村生活垃圾治理、厕所粪污治理、农村生活污水治理、村容村貌提升等。,《）
1. 节能环保产业,1.7资源循环利用,1.7.1矿产资源综合利用,包括尾矿、煤矸石、煤矿瓦斯、油母页岩、油砂、伴生天然气、煤层气等能源矿产资源开发和综合利用，铁、锰、铬等黑金属矿产尾矿再开发利用和中低品位矿、伴生矿综合开发利用，铜、铅、镍、锡、铝、镁、金、银等有色金属矿产资源高效开发利用、尾矿再开发利用和伴生矿综合开发利用，以及高岭土、铝矾土、石灰石、石膏、磷矿等非金属矿产资源尾矿再开发利用和伴生矿综合开发利用。工艺、产品等需符合相关国家标准。,《）
1. 节能环保产业,1.7资源循环利用,1.7.2废旧资源再生利用,包括废旧金属、废橡胶、废塑料、废玻璃、废旧太阳能设备、废旧纺织品、废矿物油、废弃生物质等废旧资源的再生利用。再生利用资源、工艺、产品等需符合《铜及铜合金废料》（GB/T13587）、《废钢铁》（GB4223）、《电子废弃物中金属废料废件》（GB/T27686）、《再生橡胶通用规范》（GB/T13460）、《废弃电器电子产品回收处理管理条例》（国务院令第551号）、《再生利用品和再制造品通用要求及标识》（GB/T27611）、《废弃电器电子产品处理污染控制技术规范》（HJ527）、《废弃机电产品集中拆解利用处置区环境保护技术规范（试行）》（HJ/T181）、《报废汽车回收拆解企业技术规范》（GB22128）、《废润滑油回收与再生利用技术导则》（GB/T17145）、《废矿物油回收利用污染控制技术规范》（HJ607）、《固体生物质燃料样品制备方法》（GB/T28730）等国家标准和行业标准。,《铜及铜合金废料》（GB/T13587）&《废钢铁》（GB4223）&《电子废弃物中金属废料废件》（GB/T27686）&《再生橡胶通用规范》（GB/T13460）&《废弃电器电子产品回收处理管理条例》（国务院令第551号）、《再生利用品和再制造品通用要求及标识》（GB/T27611）&《废弃电器电子产品处理污染控制技术规范》（HJ527）&《废弃机电产品集中拆解利用处置区环境保护技术规范（试行）》（HJ/T181）&《报废汽车回收拆解企业技术规范》（GB22128）&《废润滑油回收与再生利用技术导则》（GB/T17145）&《废矿物油回收利用污染控制技术规范》（HJ607）&《固体生物质燃料样品制备方法》（GB/T28730）
